315.87,323.67,12.12,-48.968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0
440.51,471.23,-103.46,-67.541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0
409.85,208.36,194.42,-13.318,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,2
311.22,185.37,167.24,-41.337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
327.24,135.4,275.58,-110.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,1
1281.8,-53.973,23.273,-173.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0
387.21,298.71,269.69,22.609,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1,0
574.35,245.28,330,-83.756,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1
221.51,224.39,206.06,25.757,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,1
542.44,445.96,8.7354,-101.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,1
473.45,113.4,164.69,-42.611,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1
320.06,219.83,254.99,-70.316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,1
648.44,620.65,-448.19,-55.118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1
272.35,189.7,200.43,-53.096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
1317,1485.5,-1192.2,-38.284,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,1,1
281.93,213.68,235.79,-86.166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0
2590.5,20.476,718.21,1563.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,1,0
